Message ID,Spot,Comments
16035,"Sto scrivendo la tesi ed è una palla assurda... Ho finito la parte sperimentale (il progetto) ma la stesura del testo mi sta logorando. Ho anche una paura matta di essere accusato di plagio perché sto prendendo molte informazioni da internet e da libri, informazioni che rielaboro ma poi effettivamente non so se possono essere scovate dalla commissione che esaminerà l'elaborato","[""La mia tesi era compilativa, per cui, il 100% della tesi era per l'appunto scritta. Quello che ti posso dire per mia esperienza è di elaborare il testo con le tue parole, metti le citazioni dovunque e non rischierai niente. In ogni caso ci sono dei tool utilissimo per darti un'idea se la tesi ha del plagio o no. Tutta via, in una testa c'è una piccola percentuale di tolleranza di plagio, il quale mi sembra fosse del 15% piú o meno. Non ti preoccupare, fai vedere la tesi al relatore o al correlatore. Lui ti dirà se va bene o no, se la tesi ha troppo plagio, il relatore ti aiuterà a sistemarla."", 'Se citi ogni sito dal quale prendi le informazioni non succede nulla', 'cerca di appuntare tutta la documentazione che usi, è normale quello che stai facendo ma per non essere accusati di plagio devi citare tutte le fonti', 'by: 81']"
16034,Ma la differenziata al dmi funziona o è solo una farsa?,"['Oppure mi faccio i viaggi fino al corridoio dove è presente il cestino della carta', 'Anzi forse io sono l’unico che per amore di non buttare la carta nel cestino della plastica butta la carta nel cestino del bagno…', 'Per me è una farsa a cominciare dal l’unico sacchetto “plastica” fuori l’aula Johnson, in cui giustamente essendo l’unico sacchetto della spazzatura ormai tutti ci buttano di tutto, non solo la “plastica”.', 'ultimamente non lo fanno più, i sacchi sono diversi (o così sembra)', 'Purtroppo è abbastanza una farsa se fuori nei cestini con le apposite sezioni per buttare le cose mettono un sacco unico', 'by: mucro']"
16033,,"['allora è caduto in prescrizione', ""Btw questo foglio risale ad almeno prima che mi iscrivessi io all'università (almeno 5 anni fa)"", 'É consentito spostare i mobili dalle proprie sedi in base alla propria esperienza di gaming definitiva, sono consentite minacce e bestemmie, a patto che non siano scontate ma creative, non é consentito nutrirsi delle proprie scorte nutritive, ma solo cioccolata calda della macchinetta.', ""Per quella nel corridoio non valgono queste regole, quella é l'aula Gaming"", ""non ho capito che c'entrano i rappresentanti, il comportamento di 2 o 3 elementi non corrisponde ovviamente al comportamento del resto. Piuttosto se sentite la necessità che ci sia più silenzio in aula studio potete sempre e gentilmente far capire agli altri (non tramite spotted preferibilmente) che non sono graditi gli schiamazzi"", 'Però non c’è scritto che non si può usare come aula gaming', 'by: Belle Delphine']"
16032,Sapreste consigliarmi un gioco online da fare tra amici? almeno 4 giocatori,"['Dnd su roll20', 'ooooh, stardew valley', 'Se vuoi un minigioco con partite veloci ma comunque molto dinamico puoi guardare anche BombSquad. Molto carino, fatto bene e se non erro pure Open Source', ""Terraria o Project Zomboid, altrimenti Stardew Valley se sei nei farming. È massimo 4 giocatori ma dovrebbe salire ad 8 con l'aggiornamento nuovo"", 'Phasmo phobia', 'Minecraft', 'Factorio', 'BD2❤️❤️❤️❤️', 'nostale', ""In base al livello di psicopatia del gruppo anche sandbox infiniti come Garry's Mod, No Man's Sky o Minetest moddato bene ne valgono la pena"", 'Dota2', 'Approvo', 'pummel party', 'metin2', 'Gartic phone\nBoard games arena\nBorderlands 2', 'Cs2, così dopo qualche partita, ti serve un gioco single player', 'Counter Strike 2', 'Amogus', 'Valheim 🔥', 'Trovate il quinto e giocate a rainbow six siege', 'escape from tarkov', 'Left 4 Dead 2', 'Gartic Phone', None, 'Risk of Rain 2', 'League of Legends\n\n\nLo sappiamo tutti che prima o poi tutti ci approdano.\n\nRestare amici è un optional tuttavia', ""Deep rock galactic, baldur's gate 3, killing floor 2"", 'Lethal Company', 'by: Xenia, the Linux mascot']"
16031,Esistono incentivi statali per l’acquisto di biciclette o monopattini elettrici?,"['https://www.unict.it/it/servizi/trasporti-e-mobilità', 'by: furry']"
16030,Impossibile provare a GitHub che sono uno studente. Che bella Unict... Neanche una tesserina per riconoscere lo status di studente.,"[None, 'No fratm ci ho provato pure io ma GitHub mi fa i pernacchioni', ""ma in realta' quando ti immatricoli l'uni rilascia qualcosa quindi effettivamente puoi usare quello, io in passato usai quel documento per farmi accettare github pro"", 'piccolo tip: metti nome e cognome nel tuo profilo GitHub e una foto profilo dove ti si vede in viso\n\nentro 3 giorni dalla fine della procedura avrai GitHub Pro', 'gotchu bro, prova questo', 'https://t.me/Spotted_DMI/13564', 'Basta che carichi lo screen dove c’è matricola e anno di iscrizione, oppure puoi scaricare la ricevuta da Smart edu', 'by: pensione a Cuba']"
16029,"Vorrei cominciare ad andare alla cittadella con i mezzi, vengo da Acireale, c’è qualcuno che fa la stessa cosa?
Se si, potete dire quali treni o autobus prendete?","['Ma ha anche altro orari', ""Al ritorno devi scendere in via etnea zona borgo e aspettare che salgano, io solitamente prendo quello che parte all'1 dalla stazione di Catania, e tra le 15e15 e le 15e30 passa"", ""AST estrairbano, il Ficarazzi e il san Gregorio che partono da piazza Livatino fanno strade diverse e ti lasciano entrambi all'entrata di via Passo Gravina"", 'Per qualsiasi info e aiuto a disposizione', ""Io vado in Cittadella con l'AST prendendo Ficarazzi o San Gregorio che ti lasciano vicino alla cittadella e dopo 15 minuti circa sei al Dipartimento. Oppure via Treno da Acireale-Catania e poi per arrivare al Dipartimento (Cittadella) puoi prendere sia amo (brt1 e 442) oppure la metro e lo shuttle (da Milo)"", 'Anche perché nelle ore di punta il BRT1 si riempie che è un piacere', 'A differenza del BRT1 trovo il metroshuttle molto più affidabile', 'Dalla stazione parte da Giovanni XXIII e ferma a Milo dove può prendere il metroshuttle che lo lascia proprio di fronte la cittadella', ""Acireale -> Catania non so\nStazione -> Cittadella: prendi la Metro con direizione Nesima e puoi scendere a:\n- Borgo: sali in via Etnea e speri nell'arrivo di un autobus che salga (744, 442, 929, 556) e, in base a quale scegli, scendi alla fermata più vicina alla cittadella (Moovit è tuo amico in questo caso)\n- Milo: Prendi Metro Shuttle e scendi alla fermata che ti interessa oppure prendi il BRT1\n- Cibali: Sali a piedi alla cittadella ed eviti di dipendere da troppi"", 'In caso vedi se riesci a trovare qualche offerta di abbonamento per il treno allettante', 'Combo: treno - metro - metroshuttle (la cosa brutta che ti costerebbe €6,20 al giorno (ovviamente se hai fatto il versamento per i mezzi FCE e AMT gratis))', 'by: signor nessuno']"
16028,,['by: nobody']
16027,"Spotto le coscienze di chi si rende conto che pagando le tasse all'università di Catania, la quale collabora sia con aziende di armamenti che con enti israeliani, supporta indirettamente il genocidio palestinese","['Show me the fucking data', ""L'unico crimine di guerra é la rimozione delle fontanelle dell'acqua"", 'Proprio per questo pago le tasse', None, 'Noi studenti in ritardo pagando il contributo di 200 euro extra facciamo più crimini di guerra degli altri', None, 'sono rappresentante da nemmeno un giorno e ho già commesso dei crimini di guerra', 'by: tutta colpa dei rappresentanti']"
16026,Chi è che paga per spotted?,"['https://t.me/c/1409670397/59124', ""comunque ragazzi parlando seriamente, spotted così come gli altri bot e servizi sono hostati su vps a pagamento che vengono pagati da volontari che donano a unictdevs, tempo fa avevamo fatto un post per ricordare quanto per noi fossero importanti le donazioni visto che è anche l'unico modo per mandare avanti questi servizi"", 'Con la tassa da 140 c’è anche l’abbonamento annuale a Spotted', None, 'io', 'by: OK???']"
16025,Le persone che si fanno le foto col telefono attaccato al naso hanno problemi.,"['Un rappresentante che si impegna come blue', 'concordo', 'by: uwu']"
16023,Spotto nuove persone per fare amicizia,"['È tipo Batman, ti farà sapere chi è con il batsegnale', 'Inizierei non mettendo l’anonimo…', 'eccomi', 'faccio amicizia solo con le guardie', 'hi', 'by: me and the boys']"
16022,"Chissà se ancora una  volta i versi di un vecchio romano impertinente avranno ragione:

https://youtu.be/c3i4Q1N3cLQ?si=YgDJmgFyZWwR2TG_",['by: M4ri0DiB0rg3s3']
16021,"Ho perso delle lezioni di laboratorio di algoritmi, dove mi consigliate di poter recuperare ciò che è stato spiegato? Cioè se avete qualche canale youtube di qualcuno bravo che spiega senza dar per scontato le cose o comunque le spiega in modo completo","['Se hai delle basi potresti cercare le slide del professore cantone e usare gli appunti dei due prof', 'che cazzo è una serie geometricaaa🦅🦅🦅🦅🦅🦅', ""L'unica cosa che è stata data per scontato in algoritmi è che gli studenti del dmi sappiano fare un ragionamento logico. Sbagliato."", 'by: weeb']"
